Command,Latency
del,43120570
put,29632105
put,22765265
put,17047810
del,24752472
del,13905490
del,23958580
del,25111738
store,26788358
del,25306666
store,15125626
del,25026950
del,24314913
get,24216506
del,25236126
put,20705492
get,25316932
store,27168507
store,27483842
put,20390785
get,25233541
get,24650503
get,24580452
store,25309390
put,12653787
store,25125845
get,16382218
del,15896189
store,25116976
get,23594635
put,12979738
put,21729861
put,20685307
del,24955990
del,25902625
put,30358598
get,25346126
get,24466190
put,20285044
store,26480636
get,26143509
get,24914085
put,21173292
get,24697227
del,24500204
put,20809067
put,20415579
put,20373325
del,24199953
del,24086321
get,24366317
store,25781590
put,20445052
del,24583803
store,24819799
store,24588622
get,24465212
get,24332723
put,20926401
get,26320908
del,14901434
del,15684150
get,25667119
get,26563398
store,25015007
put,12921979
store,26898010
put,11957954
put,21181603
store,25068017
store,24737665
del,18970134
put,21462087
del,15145112
store,24515079
store,17826336
del,24269726
get,14480916
store,27212368
get,23180963
store,24628782
get,25625424
store,25632686
store,25834040
del,24885381
get,24846199
put,21234193
get,24031984
put,20429128
del,24120124
get,24021368
store,24982670
get,24268399
store,24630039
put,20529700
store,24684725
put,20448893
get,23975691
put,20612113
store,24590020
del,24276850
get,24317777
put,20309838
del,24360310
del,24350113
put,20559382
store,24647919
get,24207566
store,24906053
get,24103502
get,24567740
store,24024930
store,24688916
get,24046302
put,20926192
del,24106925
put,20674273
get,23933927
get,24542457
store,24028003
store,24959133
get,24332863
store,24697925
get,24197928
del,24482393
get,24632763
del,25650147
get,26428394
put,21061545
del,24311281
get,24469054
put,21021037
del,24491683
del,24094842
put,20272124
put,20837004
put,20671968
store,24054962
del,24048397
store,24111325
get,24108880
store,25066130
put,20658977
get,24359541
put,20422703
del,24588902
store,24719716
get,24870783
store,24555448
del,28454363
store,24832790
store,27996202
get,24365897
del,24864708
put,20984998
store,24770491
store,28753984
get,26031344
del,23898935
get,25057610
store,29859230
store,28840727
get,28041947
store,29343379
del,24781805
del,24169363
put,25201065
put,21035634
store,26728783
put,24118308
del,14753089
del,24540432
del,25812320
put,27306304
del,16831860
put,13066761
get,13095746
get,23152467
get,24175229
del,24949705
put,19851188
del,24931546
del,26233047
put,13682835
del,25944530
del,15586581
del,14902900
get,13480853
store,29627774
store,25845006
get,26367702
put,11973458
store,24044835
store,17659554
put,19747402
get,26949623
put,17274097
store,26051738
del,27742466
get,26611310
store,25660903
get,25950118
del,24124664
put,12014386
store,24416533
put,20346505
store,24782852
get,24138982
del,24319104
store,24415974
store,25038753
put,21397064
del,24617188
put,24542947
put,21323591
get,28665355
put,12602523
store,26741145
del,24594909
del,25526946
del,24052169
put,21754933
del,23836637
store,27307492
get,23704566
del,17289533
put,26905832
get,13153644
get,26438242
store,25147287
put,22540095
del,25905070
store,27531474
get,25614109
store,24658395
get,25433568
put,20400004
put,20320594
del,13920366
get,17144820
del,26581277
put,13627521
del,26264335
put,20358658
get,26030855
store,28030564
store,24640166
get,14385164
get,25956473
store,27291498
put,12689476
put,20078592
put,14005294
store,29123866
store,15038114
get,24962276
put,21320099
store,14028761
get,23948034
store,14069269
put,21338537
get,25742408
put,21076072
store,24053496
store,23883710
put,21087247
store,24486584
del,23984701
store,26595316
get,23432882
store,26235701
del,24620401
del,14832639
get,24362405
put,21800680
store,24963184
get,23889437
del,24572699
del,14670258
get,24320570
del,24138284
store,24589531
put,20396093
del,14389424
del,25736890
put,21371573
get,24291516
put,12812397
del,24270913
get,24395999
store,24381752
store,24941115
put,20897068
get,24396419
put,20222327
del,25742618
put,21270302
del,16164591
store,24300386
store,27688619
del,15432790
get,24236201
put,20929265
get,24751214
del,23693252
put,22123139
del,25735913
store,24475619
put,20388411
store,25596090
put,20774705
store,26342978
store,25266297
put,12368972
get,24307998
get,24617398
put,21633479
store,24992867
get,13945859
get,25216290
del,14413729
store,26538743
put,20468659
store,25120887
put,21009303
put,20281273
put,12364293
put,22185019
get,24323853
store,24798916
put,21482831
del,14106634
get,24278735
get,24851298
put,12241092
store,16553191
put,12274965
put,12845503
get,24665099
del,24982810
put,23162804
put,21300544
get,24287675
put,21509371
del,25341307
put,22885742
put,20574818
del,16565134
store,26335016
put,23470457
del,25272932
put,22401599
del,25590432
del,25541403
del,26901572
put,20889525
get,25218805
put,21234963
put,21149266
put,21623981
put,12164056
put,21774838
put,20956643
del,24958714
store,25289834
put,21890217
get,25391942
del,24776427
store,25944600
put,21264505
store,26302469
put,21552951
del,14430002
get,14350313
get,26137015
store,17562754
store,20851112
get,24837958
put,21908306
put,22124676
del,24697855
del,25419949
get,15124927
get,17248116
del,26359111
store,26938239
put,21979963
put,12426941
store,14354014
del,19227012
del,14774042
put,21754864
del,26669488
get,26125281
del,15303164
get,25411708
put,22239566
put,12292286
get,26934397
get,17126522
put,22633263
store,15486567
del,25431822
put,24466958
put,13638485
get,30414891
put,12391392
put,14939288
del,15401291
put,23493155
del,14600067
del,25555512
del,23784116
store,14729204
get,27602364
del,25803799
del,27452902
put,25898435
put,21739289
put,21907887
store,30740562
put,12855699
del,15391374
get,27808187
put,21538844
get,24676833
store,27009686
get,13971980
get,24621519
del,25998867
del,15102299
put,21144517
store,24955432
del,24843126
get,27653069
get,24646940
put,21492958
store,14399131
get,25031280
put,23368558
put,19899588
del,29718149
put,22811081
del,24423238
put,22292715
put,20676368
del,27446686
del,13903884
put,21907398
put,20808787
put,21119653
del,24593162
del,27172488
get,13767623
get,25254284
get,14729762
get,26929299
get,13706302
put,21915221
del,27077433
put,21689911
get,14608378
del,25178296
store,26331035
del,27241002
get,26075484
store,27168297
store,24991609
get,26673119
get,32678950
put,21103100
del,25943064
put,21759404
get,14728296
get,24955502
store,25902207
del,26126957
put,13130875
get,33378206
del,14943897
store,15014368
put,26632611
del,14674588
store,19371794
put,15516390
put,21032352
del,14980145
del,26914073
del,15899752
get,25237313
store,25021013
del,24739481
del,16090490
store,15542860
put,21065317
put,13326573
store,24666776
store,25400952
store,16311119
put,13184444
store,26113478
store,25391314
store,24936784
store,19323533
store,16302808
put,22160016
put,22774135
put,13534840
get,25600071
get,26772784
del,13540148
get,28146990
put,21171895
put,22581371
get,26905902
store,16953873
put,25287040
store,27396959
put,23309332
